timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll
557557.872,398166745,301208717,3.11
557657.872,398166745,301208717,0.20999999999999996
557757.872,398166745,301208717,-1.64
557857.872,398166804,301208672,-1.73
557957.872,398166858,301208627,-0.75
558057.872,398166858,301208627,0.38000000000000006
558157.872,398166908,301208582,2.24
558257.872,398166908,301208582,3.45
558357.872,398166955,301208542,4.88
558457.872,398166955,301208542,5.22
558557.872,398166999,301208507,4.58
558657.872,398166999,301208507,4.06
558757.872,398166999,301208507,3.37
558857.872,398167041,301208476,2.98
558957.872,398167081,301208447,2.56
559057.872,398167081,301208447,2.21
559157.872,398167121,301208421,1.59
559257.872,398167121,301208421,1.34
559357.872,398167161,301208396,1.25
559457.872,398167161,301208396,1.24
559557.872,398167199,301208373,1.71
559657.872,398167199,301208373,2.4
559757.872,398167199,301208373,3.08
559857.872,398167238,301208354,3.07
559957.872,398167276,301208335,2.15
560057.872,398167276,301208335,1.05
560157.872,398167312,301208318,-0.57
560257.872,398167312,301208318,-1.46
560357.872,398167346,301208302,-2.71
560457.872,398167346,301208302,-3.44
560557.872,398167382,301208284,-4.26
560657.872,398167382,301208284,-4.99
560757.872,398167382,301208284,-6.85
560857.872,398167422,301208262,-8.25
560957.872,398167469,301208232,-9.7
561057.872,398167469,301208232,-9.13
561157.872,398167524,301208190,-8.94
561257.872,398167524,301208190,-9.67
561357.872,398167589,301208130,-10.57
561457.872,398167589,301208130,-10.67
561557.872,398167666,301208053,-10.16
561657.872,398167666,301208053,-9.09
561757.872,398167666,301208053,-7.11
561857.872,398167750,301207956,-4.78
561957.872,398167841,301207843,1.44
562057.872,398167841,301207843,5.98
562157.872,398167941,301207729,13.59
562257.872,398167941,301207729,19.4
562357.872,398168054,301207637,30.34
562457.872,398168054,301207637,37.86
562557.872,398168178,301207594,45.97
562657.872,398168178,301207594,50.94
562757.872,398168178,301207594,59.17
562857.872,398168301,301207615,65.61
562957.872,398168415,301207709,72.75
563057.872,398168415,301207709,74.97
563157.872,398168504,301207878,75.91
563257.872,398168504,301207878,75.68
563357.872,398168567,301208106,73.17
563457.872,398168567,301208106,68.84
563557.872,398168593,301208391,56.42
563657.872,398168593,301208391,49.88
