timestamp(ms),ATT.Roll,GPS[0].Lat,GPS[0].Lng
1075905.827,38.7,398170396,301186661
1076005.827,37.58,398170285,301186333
1076105.827,37.06,398170285,301186333
1076205.827,36.21,398170201,301186004
1076305.827,35.79,398170201,301186004
1076405.827,36.27,398170143,301185677
1076505.827,36.67,398170143,301185677
1076605.827,36.27,398170113,301185357
1076705.827,34.84,398170113,301185357
1076805.827,31.47,398170111,301185051
1076905.827,29.66,398170111,301185051
1077005.827,27.24,398170111,301185051
1077105.827,25.37,398170132,301184764
1077205.827,22.26,398170168,301184495
1077305.827,18.77,398170168,301184495
1077405.827,13.69,398170213,301184238
1077505.827,11.47,398170213,301184238
1077605.827,10.62,398170260,301183988
1077705.827,10.82,398170260,301183988
1077805.827,11.31,398170312,301183744
1077905.827,10.66,398170312,301183744
1078005.827,9.24,398170312,301183744
1078105.827,9.15,398170367,301183501
1078205.827,8.65,398170425,301183259
1078305.827,8.79,398170425,301183259
1078405.827,8.78,398170488,301183018
1078505.827,8.13,398170488,301183018
1078605.827,8.42,398170557,301182779
1078705.827,9.07,398170557,301182779
1078805.827,11.37,398170634,301182545
1078905.827,12.44,398170634,301182545
1079005.827,12.38,398170634,301182545
1079105.827,11.37,398170721,301182317
1079205.827,10.24,398170814,301182093
1079305.827,9.79,398170814,301182093
1079405.827,10.62,398170914,301181874
1079505.827,12.32,398170914,301181874
1079605.827,13.38,398171018,301181658
1079705.827,13.32,398171018,301181658
1079805.827,12.59,398171128,301181447
1079905.827,12.46,398171128,301181447
1080005.827,12.15,398171128,301181447
1080105.827,11.17,398171246,301181243
1080205.827,10.01,398171371,301181047
1080305.827,9.73,398171371,301181047
1080405.827,9.36,398171504,301180857
1080505.827,9.01,398171504,301180857
1080605.827,8.2,398171641,301180673
1080705.827,7.98,398171641,301180673
1080805.827,7.63,398171784,301180494
1080905.827,7.17,398171784,301180494
1081005.827,7.7,398171784,301180494
1081105.827,7.48,398171931,301180318
